name,birth_country,birth_country_now,category,affiliation_countries
Adam G. Riess,USA,USA,['Physics'],"['USA', 'USA']"
Ahmed Zewail,Egypt,Egypt,['Chemistry'],['USA']
Alan Heeger,USA,USA,['Chemistry'],['USA']
Alan MacDiarmid,New Zealand,New Zealand,['Chemistry'],['USA']
Albert A. Michelson,Prussia,Poland,['Physics'],['USA']
Aleksey Yekimov ,USSR,Russia,['Chemistry'],['USA']
Alexei Abrikosov,USSR,Russia,['Physics'],['USA']
Alexis Carrel,France,France,['Physiology or Medicine'],['USA']
Alfred D. Hershey,USA,USA,['Physiology or Medicine'],['USA']
Alfred G. Gilman,USA,USA,['Physiology or Medicine'],['USA']
Allan M. Cormack,South Africa,South Africa,['Physiology or Medicine'],['USA']
André F. Cournand,France,France,['Physiology or Medicine'],['USA']
Andrea Ghez,USA,USA,['Physics'],['USA']
Andrew V. Schally,Poland,Lithuania,['Physiology or Medicine'],['USA']
Andrew Z. Fire,USA,USA,['Physiology or Medicine'],['USA']
Anthony J. Leggett,United Kingdom,United Kingdom,['Physics'],['USA']
Ardem Patapoutian,Lebanon,Lebanon,['Physiology or Medicine'],"['USA', 'USA']"
Arieh Warshel,British Mandate of Palestine,Israel,['Chemistry'],['USA']
Arno Penzias,Germany,Germany,['Physics'],['USA']
Arthur Ashkin,USA,USA,['Physics'],['USA']
Arthur H. Compton,USA,USA,['Physics'],['USA']
Arthur Kornberg,USA,USA,['Physiology or Medicine'],['USA']
Arthur L. Schawlow,USA,USA,['Physics'],['USA']
Aziz Sancar,Turkey,Turkey,['Chemistry'],['USA']
Barbara McClintock,USA,USA,['Physiology or Medicine'],['USA']
Barry C. Barish,USA,USA,['Physics'],"['Unknown', 'USA']"
Baruch S. Blumberg,USA,USA,['Physiology or Medicine'],['USA']
Baruj Benacerraf,Venezuela,Venezuela,['Physiology or Medicine'],['USA']
Brian Kobilka,USA,USA,['Chemistry'],['USA']
Bruce A. Beutler,USA,USA,['Physiology or Medicine'],"['USA', 'USA']"
Bruce Merrifield,USA,USA,['Chemistry'],['USA']
Burton Richter,USA,USA,['Physics'],['USA']
Carl Cori,Austria-Hungary,Czech Republic,['Physiology or Medicine'],['USA']
Carl D. Anderson,USA,USA,['Physics'],['USA']
Carl Wieman,USA,USA,['Physics'],['USA']
Carol W. Greider,USA,USA,['Physiology or Medicine'],['USA']
Carolyn Bertozzi,USA,USA,['Chemistry'],"['USA', 'USA']"
Charles B. Huggins,Canada,Canada,['Physiology or Medicine'],['USA']
Charles H. Townes,USA,USA,['Physics'],['USA']
Charles J. Pedersen,Korea,South Korea,['Chemistry'],['USA']
Charles M. Rice,USA,USA,['Physiology or Medicine'],['USA']
Chen Ning Yang,China,China,['Physics'],['USA']
Christian Anfinsen,USA,USA,['Chemistry'],['USA']
Christian de Duve,United Kingdom,United Kingdom,['Physiology or Medicine'],"['USA', 'Belgium']"
Clifford G. Shull,USA,USA,['Physics'],['USA']
Clinton Davisson,USA,USA,['Physics'],['USA']
Craig C. Mello,USA,USA,['Physiology or Medicine'],['USA']
D. Carleton Gajdusek,USA,USA,['Physiology or Medicine'],['USA']
Daniel C. Tsui,China,China,['Physics'],['USA']
Daniel Nathans,USA,USA,['Physiology or Medicine'],['USA']
David Baker,USA,USA,['Chemistry'],"['USA', 'USA']"
David Baltimore,USA,USA,['Physiology or Medicine'],['USA']
David H. Hubel,Canada,Canada,['Physiology or Medicine'],['USA']
David J. Gross,USA,USA,['Physics'],['USA']
David J. Thouless,United Kingdom,United Kingdom,['Physics'],['USA']
David J. Wineland,USA,USA,['Physics'],"['USA', 'USA']"
David Julius,USA,USA,['Physiology or Medicine'],['USA']
David M. Lee,USA,USA,['Physics'],['USA']
David W.C. MacMillan,United Kingdom,United Kingdom,['Chemistry'],['USA']
Dickinson W. Richards,USA,USA,['Physiology or Medicine'],['USA']
Donald A. Glaser,USA,USA,['Physics'],['USA']
Donald J. Cram,USA,USA,['Chemistry'],['USA']
Douglas D. Osheroff,USA,USA,['Physics'],['USA']
Drew Weissman,USA,USA,['Physiology or Medicine'],['USA']
Dudley R. Herschbach,USA,USA,['Chemistry'],['USA']
E. Donnall Thomas,USA,USA,['Physiology or Medicine'],['USA']
E. M. Purcell,USA,USA,['Physics'],['USA']
"Earl W. Sutherland, Jr.",USA,USA,['Physiology or Medicine'],['USA']
Edmond H. Fischer,China,China,['Physiology or Medicine'],['USA']
Edward A. Doisy,USA,USA,['Physiology or Medicine'],['USA']
Edward B. Lewis,USA,USA,['Physiology or Medicine'],['USA']
Edward C. Kendall,USA,USA,['Physiology or Medicine'],['USA']
Edward Tatum,USA,USA,['Physiology or Medicine'],['USA']
Edwin G. Krebs,USA,USA,['Physiology or Medicine'],['USA']
Edwin M. McMillan,USA,USA,['Chemistry'],['USA']
Ei-ichi Negishi,China,China,['Chemistry'],['USA']
Elias James Corey,USA,USA,['Chemistry'],['USA']
Elizabeth H. Blackburn,Australia,Australia,['Physiology or Medicine'],['USA']
Emilio Segrè,Italy,Italy,['Physics'],['USA']
Eric Betzig,USA,USA,['Chemistry'],['USA']
Eric Cornell,USA,USA,['Physics'],['USA']
Eric F. Wieschaus,USA,USA,['Physiology or Medicine'],['USA']
Eric Kandel,Austria,Austria,['Physiology or Medicine'],['USA']
Ernest Lawrence,USA,USA,['Physics'],['USA']
Eugene Wigner,Austria-Hungary,Hungary,['Physics'],['USA']
F. Duncan M. Haldane,United Kingdom,United Kingdom,['Physics'],['USA']
F. Sherwood Rowland,USA,USA,['Chemistry'],['USA']
Felix Bloch,Switzerland,Switzerland,['Physics'],['USA']
Ferid Murad,USA,USA,['Physiology or Medicine'],['USA']
Frances H. Arnold,USA,USA,['Chemistry'],['USA']
Frank Wilczek,USA,USA,['Physics'],['USA']
Frederick C. Robbins,USA,USA,['Physiology or Medicine'],['USA']
Frederick Reines,USA,USA,['Physics'],['USA']
Fritz Lipmann,Germany,Russia,['Physiology or Medicine'],"['USA', 'USA']"
Gary Ruvkun,USA,USA,['Physiology or Medicine'],"['USA', 'USA']"
Georg von Békésy,Hungary,Hungary,['Physiology or Medicine'],['USA']
George A. Olah,Hungary,Hungary,['Chemistry'],['USA']
George Beadle,USA,USA,['Physiology or Medicine'],['USA']
George D. Snell,USA,USA,['Physiology or Medicine'],['USA']
George E. Palade,Romania,Romania,['Physiology or Medicine'],['USA']
George E. Smith,USA,USA,['Physics'],['USA']
George F. Smoot,USA,USA,['Physics'],['USA']
George H. Hitchings,USA,USA,['Physiology or Medicine'],['USA']
George H. Whipple,USA,USA,['Physiology or Medicine'],['USA']
George P. Smith,USA,USA,['Chemistry'],['USA']
George R. Minot,USA,USA,['Physiology or Medicine'],['USA']
George Wald,USA,USA,['Physiology or Medicine'],['USA']
Gerald M. Edelman,USA,USA,['Physiology or Medicine'],['USA']
