name,birth_city,birth_country,birth_continent,birth_lat,birth_lon,affil_city,affil_country,affil_continent,affil_lat,affil_lon,distance_km
A. Michael Spence,"Montclair, NJ",USA,North America,40.825930,-74.209030,"Stanford, CA",USA,North America,37.424734,-122.163858,4112.2246167140565
Aage N. Bohr,Copenhagen,Denmark,Europe,55.678127,12.572532,Copenhagen,Denmark,Europe,55.678127,12.572532,0.0
Aaron Ciechanover,Haifa,British Protectorate of Palestine,Asia,32.794421,34.990340,Haifa,Israel,Asia,32.794421,34.990340,0.0
Aaron Klug,Zelvas,Lithuania,Europe,53.148256,24.816515,Cambridge,United Kingdom,Europe,52.194605,0.135092,1664.6552633499232
Abdus Salam,Jhang Maghiāna,India,Asia,31.268056,72.318056,Trieste,Italy,Europe,45.649433,13.776623,5228.10488209837
Abdus Salam,Jhang Maghiāna,India,Asia,31.268056,72.318056,London,United Kingdom,Europe,51.510235,-0.120852,6181.135920476722
Abhijit Banerjee,Mumbai,India,Asia,19.075833,72.877500,"Cambridge, MA",USA,North America,42.374024,-71.107306,12266.841770692514
Ada E. Yonath,Jerusalem,British Mandate of Palestine,Asia,31.767983,35.213809,Rehovot,Israel,Asia,31.892773,34.811272,40.5412955420742
Adam G. Riess,"Washington, D.C.",USA,North America,38.899065,-77.036523,"Baltimore, MD",USA,North America,39.291586,-76.625305,56.25343826459609
Adam G. Riess,"Washington, D.C.",USA,North America,38.899065,-77.036523,"Baltimore, MD",USA,North America,39.291586,-76.625305,56.25343826459609
Adolf Butenandt,Bremerhaven-Lehe,Germany,Europe,53.550000,8.583333,Berlin-Dahlem,Germany,Europe,52.453739,13.293130,338.82757105347184
Adolf Butenandt,Bremerhaven-Lehe,Germany,Europe,53.550000,8.583333,Berlin,Germany,Europe,52.522265,13.406852,343.10332136503774
Adolf von Baeyer,Berlin,Prussia,Europe,52.522265,13.406852,Munich,Germany,Europe,48.134703,11.581995,505.0088720886128
Adolf Windaus,Berlin,Germany,Europe,52.522265,13.406852,Göttingen,Germany,Europe,51.539385,9.913113,263.5041315029224
Ahmed Zewail,Damanhur,Egypt,Africa,31.050000,30.466667,"Pasadena, CA",USA,North America,34.150071,-118.142111,12075.811487660487
Akira Suzuki,Mukawa,Japan,Asia,42.574750,141.926750,Sapporo,Japan,Asia,43.062096,141.354376,71.56854440722925
Akira Yoshino,Suita,Japan,Asia,34.764885,135.517349,Tokyo,Japan,Asia,35.680183,139.769373,400.16477232914855
Akira Yoshino,Suita,Japan,Asia,34.764885,135.517349,Nagoya,Japan,Asia,35.180679,136.918749,136.03163660205678
Alain Aspect,Agen,France,Europe,44.203056,0.618611,Paris,France,Europe,48.860093,2.355954,534.5265107077812
Alain Aspect,Agen,France,Europe,44.203056,0.618611,Palaiseau,France,Europe,48.714509,2.245748,516.8030425846626
Alan Heeger,"Sioux City, IA",USA,North America,42.496681,-96.405876,"Santa Barbara, CA",USA,North America,34.419237,-119.702479,2212.8329864257485
Alan Hodgkin,Banbury,United Kingdom,Europe,52.061389,-1.339167,Cambridge,United Kingdom,Europe,52.194605,0.135092,102.04065231604699
Alan MacDiarmid,Masterton,New Zealand,Oceania,-40.966667,175.650000,"Philadelphia, PA",USA,North America,39.957132,-75.174342,14186.905546454338
Albert A. Michelson,Strelno,Prussia,Europe,52.629444,18.170000,"Chicago, IL",USA,North America,41.876228,-87.638416,7354.937424949452
