year,country,count,total,proportion
1901,Germany,3,3,1.0
1902,Germany,1,4,0.25
1902,United Kingdom,1,4,0.25
1902,the Netherlands,2,4,0.5
1903,Denmark,1,5,0.2
1903,France,2,5,0.4
1903,Sweden,1,5,0.2
1903,Unknown,1,5,0.2
1904,Russia,1,3,0.3333333333333333
1904,United Kingdom,2,3,0.6666666666666666
1905,Germany,3,3,1.0
1906,France,1,4,0.25
1906,Italy,1,4,0.25
1906,Spain,1,4,0.25
1906,United Kingdom,1,4,0.25
1907,France,1,3,0.3333333333333333
1907,Germany,1,3,0.3333333333333333
1907,USA,1,3,0.3333333333333333
1908,France,2,4,0.5
1908,Germany,1,4,0.25
1908,United Kingdom,1,4,0.25
1909,Germany,2,4,0.5
1909,Switzerland,1,4,0.25
1909,United Kingdom,1,4,0.25
1910,Germany,2,3,0.6666666666666666
1910,the Netherlands,1,3,0.3333333333333333
1911,France,1,3,0.3333333333333333
1911,Germany,1,3,0.3333333333333333
1911,Sweden,1,3,0.3333333333333333
1912,France,2,4,0.5
1912,Sweden,1,4,0.25
1912,USA,1,4,0.25
1913,France,1,3,0.3333333333333333
1913,Switzerland,1,3,0.3333333333333333
1913,the Netherlands,1,3,0.3333333333333333
1914,Austria,1,3,0.3333333333333333
1914,Germany,1,3,0.3333333333333333
1914,USA,1,3,0.3333333333333333
1915,Germany,1,3,0.3333333333333333
1915,United Kingdom,2,3,0.6666666666666666
1917,United Kingdom,1,1,1.0
1918,Germany,2,2,1.0
1919,Belgium,1,2,0.5
1919,Germany,1,2,0.5
1920,Denmark,1,3,0.3333333333333333
1920,France,1,3,0.3333333333333333
1920,Germany,1,3,0.3333333333333333
1921,Germany,1,2,0.5
1921,United Kingdom,1,2,0.5
1922,Denmark,1,4,0.25
1922,Germany,1,4,0.25
1922,United Kingdom,2,4,0.5
1923,Austria,1,4,0.25
1923,Canada,2,4,0.5
1923,USA,1,4,0.25
1924,Sweden,1,2,0.5
1924,the Netherlands,1,2,0.5
1925,Germany,3,3,1.0
1926,Denmark,1,3,0.3333333333333333
1926,France,1,3,0.3333333333333333
1926,Sweden,1,3,0.3333333333333333
1927,Austria,1,4,0.25
1927,Germany,1,4,0.25
1927,USA,1,4,0.25
1927,United Kingdom,1,4,0.25
1928,Germany,1,3,0.3333333333333333
1928,Tunisia,1,3,0.3333333333333333
1928,United Kingdom,1,3,0.3333333333333333
1929,France,1,5,0.2
1929,Sweden,1,5,0.2
1929,United Kingdom,2,5,0.4
1929,the Netherlands,1,5,0.2
1930,Germany,1,3,0.3333333333333333
1930,India,1,3,0.3333333333333333
1930,USA,1,3,0.3333333333333333
1931,Germany,3,3,1.0
1932,Germany,1,4,0.25
1932,USA,1,4,0.25
1932,United Kingdom,2,4,0.5
1933,Germany,1,3,0.3333333333333333
1933,USA,1,3,0.3333333333333333
1933,United Kingdom,1,3,0.3333333333333333
1934,USA,4,4,1.0
1935,France,2,4,0.5
1935,Germany,1,4,0.25
1935,United Kingdom,1,4,0.25
1936,Austria,2,5,0.4
1936,Germany,1,5,0.2
1936,USA,1,5,0.2
1936,United Kingdom,1,5,0.2
1937,Hungary,1,5,0.2
1937,Switzerland,1,5,0.2
1937,USA,1,5,0.2
1937,United Kingdom,2,5,0.4
1938,Belgium,1,3,0.3333333333333333
1938,Germany,1,3,0.3333333333333333
1938,Italy,1,3,0.3333333333333333
1939,Germany,2,4,0.5
1939,Switzerland,1,4,0.25
1939,USA,1,4,0.25
1943,Denmark,1,4,0.25
1943,Sweden,1,4,0.25
1943,USA,2,4,0.5
1944,Germany,1,4,0.25
1944,USA,3,4,0.75
1945,Finland,1,5,0.2
1945,USA,1,5,0.2
1945,United Kingdom,3,5,0.6
1946,USA,5,5,1.0
1947,Argentina,1,5,0.2
1947,USA,2,5,0.4
1947,United Kingdom,2,5,0.4
1948,Sweden,1,3,0.3333333333333333
1948,Switzerland,1,3,0.3333333333333333
1948,United Kingdom,1,3,0.3333333333333333
1949,Portugal,1,4,0.25
1949,Switzerland,1,4,0.25
1949,USA,2,4,0.5
1950,Germany,2,6,0.3333333333333333
1950,Switzerland,1,6,0.16666666666666666
