year,number-of-laureates,motivation
1901,1,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him
1902,2,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
1903,3,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity
1904,1,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies
1905,1,for his work on cathode rays
1906,1,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases
1907,1,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid
1908,1,for his method of reproducing colours photographically based on the phenomenon of interference
1909,2,in recognition of their contributions to the development of wireless telegraphy
1910,1,for his work on the equation of state for gases and liquids
1911,1,for his discoveries regarding the laws governing the radiation of heat
1912,1,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys
1913,1,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium"
1914,1,for his discovery of the diffraction of X-rays by crystals
1915,2,for their services in the analysis of crystal structure by means of X-rays
1917,1,for his discovery of the characteristic R&ouml;ntgen radiation of the elements
1918,1,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta
1919,1,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields
1920,1,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys
1921,1,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect"
1922,1,for his services in the investigation of the structure of atoms and of the radiation emanating from them
1923,1,for his work on the elementary charge of electricity and on the photoelectric effect
1924,1,for his discoveries and research in the field of X-ray spectroscopy
1925,2,for their discovery of the laws governing the impact of an electron upon an atom
1926,1,"for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium"
1927,2,for his discovery of the effect named after him
1928,1,for his work on the thermionic phenomenon and especially for the discovery of the law named after him
1929,1,for his discovery of the wave nature of electrons
1930,1,for his work on the scattering of light and for the discovery of the effect named after him
1932,1,"for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen"
1933,2,for the discovery of new productive forms of atomic theory
1935,1,for the discovery of the neutron
1936,2,for his discovery of cosmic radiation
1937,2,for their experimental discovery of the diffraction of electrons by crystals
1938,1,"for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons"
1939,1,"for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements"
1943,1,for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton
1944,1,for his resonance method for recording the magnetic properties of atomic nuclei
1945,1,"for the discovery of the Exclusion Principle, also called the Pauli Principle"
1946,1,"for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics"
1947,1,for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer
1948,1,"for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation"
1949,1,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces
1950,1,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method
1951,2,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles
1952,2,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith
1953,1,"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope"
1954,2,"for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction"
1955,2,for his discoveries concerning the fine structure of the hydrogen spectrum
1956,3,for their researches on semiconductors and their discovery of the transistor effect
1957,2,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles
1958,3,for the discovery and the interpretation of the Cherenkov effect
1959,2,for their discovery of the antiproton
1960,1,for the invention of the bubble chamber
1961,2,for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons
1962,1,"for his pioneering theories for condensed matter, especially liquid helium"
1963,3,"for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles"
1964,3,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"
1965,3,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"
1966,1,for the discovery and development of optical methods for studying Hertzian resonances in atoms
1967,1,"for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars"
1968,1,"for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis"
1969,1,for his contributions and discoveries concerning the classification of elementary particles and their interactions
1970,2,for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics
1971,1,for his invention and development of the holographic method
1972,3,"for their jointly developed theory of superconductivity, usually called the BCS-theory"
1973,3,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"
1974,2,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars"
1975,3,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
1976,2,for their pioneering work in the discovery of a heavy elementary particle of a new kind
1977,3,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
1978,3,for his basic inventions and discoveries in the area of low-temperature physics
1979,3,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"
1980,2,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons
1981,3,for their contribution to the development of laser spectroscopy
1982,1,for his theory for critical phenomena in connection with phase transitions
1983,2,for his theoretical studies of the physical processes of importance to the structure and evolution of the stars
1984,2,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
1985,1,for the discovery of the quantized Hall effect
1986,3,"for his fundamental work in electron optics, and for the design of the first electron microscope"
1987,2,for their important break-through in the discovery of superconductivity in ceramic materials
1988,3,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
1989,3,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks
1990,3,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
1991,1,"for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers"
1992,1,"for his invention and development of particle detectors, in particular the multiwire proportional chamber"
1993,2,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"
1994,2,for the development of neutron spectroscopy
1995,2,for the discovery of the tau lepton
1996,3,for their discovery of superfluidity in helium-3
1997,3,for development of methods to cool and trap atoms with laser light
1998,3,for their discovery of a new form of quantum fluid with fractionally charged excitations
1999,2,for elucidating the quantum structure of electroweak interactions in physics
2000,3,for developing semiconductor heterostructures used in high-speed- and opto-electronics
2001,3,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"
2002,3,"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"
2003,3,for pioneering contributions to the theory of superconductors and superfluids
2004,3,for the discovery of asymptotic freedom in the theory of the strong interaction
2005,3,for his contribution to the quantum theory of optical coherence
2006,2,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation
2007,2,for the discovery of Giant Magnetoresistance
2008,3,for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics
2009,3,for groundbreaking achievements concerning the transmission of light in fibers for optical communication
2010,2,for groundbreaking experiments regarding the two-dimensional material graphene
2011,3,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae
2012,2,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems
2013,2,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider"
2014,3,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources
2015,2,"for the discovery of neutrino oscillations, which shows that neutrinos have mass"
2016,3,for theoretical discoveries of topological phase transitions and topological phases of matter
2017,3,for decisive contributions to the LIGO detector and the observation of gravitational waves
2018,3,for the optical tweezers and their application to biological systems
2019,3,for theoretical discoveries in physical cosmology
2020,3,for the discovery that black hole formation is a robust prediction of the general theory of relativity
2021,3,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming"
2022,3,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science"
2023,3,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter
