year,number-of-laureates,motivation
1901,1,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths"
1902,1,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it"
1903,1,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science"
1904,1,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged"
1905,1,for his investigations and discoveries in relation to tuberculosis
1906,2,in recognition of their work on the structure of the nervous system
1907,1,in recognition of his work on the role played by protozoa in causing diseases
1908,2,in recognition of their work on immunity
1909,1,"for his work on the physiology, pathology and surgery of the thyroid gland"
1910,1,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances"
1911,1,for his work on the dioptrics of the eye
1912,1,in recognition of his work on vascular suture and the transplantation of blood vessels and organs
1913,1,in recognition of his work on anaphylaxis
1914,1,for his work on the physiology and pathology of the vestibular apparatus
1919,1,for his discoveries relating to immunity
1920,1,for his discovery of the capillary motor regulating mechanism
1922,2,for his discovery relating to the production of heat in the muscle
1923,2,for the discovery of insulin
1924,1,for his discovery of the mechanism of the electrocardiogram
1926,1,for his discovery of the Spiroptera carcinoma
1927,1,for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica
1928,1,for his work on typhus
1929,2,for his discovery of the antineuritic vitamin
1930,1,for his discovery of human blood groups
1931,1,for his discovery of the nature and mode of action of the respiratory enzyme
1932,2,for their discoveries regarding the functions of neurons
1933,1,for his discoveries concerning the role played by the chromosome in heredity
1934,3,for their discoveries concerning liver therapy in cases of anaemia
1935,1,for his discovery of the organizer effect in embryonic development
1936,2,for their discoveries relating to chemical transmission of nerve impulses
1937,1,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid"
1938,1,for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration
1939,1,for the discovery of the antibacterial effects of prontosil
1943,2,for his discovery of vitamin K
1944,2,for their discoveries relating to the highly differentiated functions of single nerve fibres
1945,3,for the discovery of penicillin and its curative effect in various infectious diseases
1946,1,for the discovery of the production of mutations by means of X-ray irradiation
1947,3,for their discovery of the course of the catalytic conversion of glycogen
1948,1,for his discovery of the high efficiency of DDT as a contact poison against several arthropods
1949,2,for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs
1950,3,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"
1951,1,for his discoveries concerning yellow fever and how to combat it
1952,1,"for his discovery of streptomycin, the first antibiotic effective against tuberculosis"
1953,2,for his discovery of the citric acid cycle
1954,3,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
1955,1,for his discoveries concerning the nature and mode of action of oxidation enzymes
1956,3,for their discoveries concerning heart catheterization and pathological changes in the circulatory system
1957,1,"for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles"
1958,3,for their discovery that genes act by regulating definite chemical events
1959,2,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid
1960,2,for discovery of acquired immunological tolerance
1961,1,for his discoveries of the physical mechanism of stimulation within the cochlea
1962,3,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
1963,3,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
1964,2,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism
1965,3,for their discoveries concerning genetic control of enzyme and virus synthesis
1966,2,for his discovery of tumour-inducing viruses
1967,3,for their discoveries concerning the primary physiological and chemical visual processes in the eye
1968,3,for their interpretation of the genetic code and its function in protein synthesis
1969,3,for their discoveries concerning the replication mechanism and the genetic structure of viruses
1970,3,"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation"
1971,1,for his discoveries concerning the mechanisms of the action of hormones
1972,2,for their discoveries concerning the chemical structure of antibodies
1973,3,for their discoveries concerning organization and elicitation of individual and social behaviour patterns
1974,3,for their discoveries concerning the structural and functional organization of the cell
1975,3,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
1976,2,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases
1977,3,for their discoveries concerning the peptide hormone production of the brain
1978,3,for the discovery of restriction enzymes and their application to problems of molecular genetics
