awardYear,simple_category,motivation
1901,Chemistry,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions
1901,Literature,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect"
1901,Peace,for his humanitarian efforts to help wounded soldiers and create international understanding
1901,Peace,"for his lifelong work for international peace conferences, diplomacy and arbitration"
1901,Physics,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him
1901,Physiology or Medicine,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths"
1902,Chemistry,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses
1902,Literature,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>"
1902,Peace,for his untiring and skilful directorship of the Bern Peace Bureau
1902,Peace,for his eminently practical administration of the Inter-Parliamentary Union
1902,Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
1902,Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
1902,Physiology or Medicine,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it"
1903,Chemistry,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation
1903,Literature,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"
1903,Peace,for his longstanding and devoted effort in favour of the ideas of peace and arbitration
1903,Physics,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity
1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel
1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel
1903,Physiology or Medicine,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science"
1904,Chemistry,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system"
1904,Literature,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist"
1904,Literature,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama"
1904,Peace,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane
1904,Physics,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies
1904,Physiology or Medicine,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged"
1905,Chemistry,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds"
1905,Literature,because of his outstanding merits as an epic writer
1905,Peace,for her audacity to oppose the horrors of war
1905,Physics,for his work on cathode rays
1905,Physiology or Medicine,for his investigations and discoveries in relation to tuberculosis
1906,Chemistry,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him"
1906,Literature,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces"
1906,Peace,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia"
1906,Physics,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases
1906,Physiology or Medicine,in recognition of their work on the structure of the nervous system
1906,Physiology or Medicine,in recognition of their work on the structure of the nervous system
1907,Chemistry,for his biochemical researches and his discovery of cell-free fermentation
1907,Literature,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author"
1907,Peace,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy"
1907,Peace,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences
1907,Physics,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid
1907,Physiology or Medicine,in recognition of his work on the role played by protozoa in causing diseases
1908,Chemistry,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances"
1908,Literature,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life"
1908,Peace,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors"
1908,Peace,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors"
1908,Physics,for his method of reproducing colours photographically based on the phenomenon of interference
1908,Physiology or Medicine,in recognition of their work on immunity
1908,Physiology or Medicine,in recognition of their work on immunity
1909,Chemistry,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction
1909,Literature,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings"
1909,Peace,for their prominent position in the international movement for peace and arbitration
1909,Peace,for their prominent position in the international movement for peace and arbitration
1909,Physics,in recognition of their contributions to the development of wireless telegraphy
1909,Physics,in recognition of their contributions to the development of wireless telegraphy
1909,Physiology or Medicine,"for his work on the physiology, pathology and surgery of the thyroid gland"
1910,Chemistry,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds
1910,Literature,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories"
1910,Peace,"for acting as a link between the peace societies of the various countries, and helping them to organize the world rallies of the international peace movement"
1910,Physics,for his work on the equation of state for gases and liquids
1910,Physiology or Medicine,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances"
1911,Chemistry,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element"
1911,Literature,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations"
1911,Peace,"for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations"
1911,Peace,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations"
1911,Physics,for his discoveries regarding the laws governing the radiation of heat
1911,Physiology or Medicine,for his work on the dioptrics of the eye
1912,Chemistry,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry"
1912,Chemistry,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years
1912,Literature,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art"
1912,Peace,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries
1912,Physics,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys
1912,Physiology or Medicine,in recognition of his work on vascular suture and the transplantation of blood vessels and organs
1913,Chemistry,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry
1913,Literature,"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West"
1913,Peace,for his unparalleled contribution to the organization of peaceful internationalism
1913,Physics,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium"
1913,Physiology or Medicine,in recognition of his work on anaphylaxis
1914,Chemistry,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements
1914,Physics,for his discovery of the diffraction of X-rays by crystals
1914,Physiology or Medicine,for his work on the physiology and pathology of the vestibular apparatus
1915,Chemistry,"for his researches on plant pigments, especially chlorophyll"
1915,Literature,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings
1915,Physics,for their services in the analysis of crystal structure by means of X-rays
1915,Physics,for their services in the analysis of crystal structure by means of X-rays
1916,Literature,in recognition of his significance as the leading representative of a new era in our literature
1917,Literature,"for his varied and rich poetry, which is inspired by lofty ideals"
1917,Literature,for his authentic descriptions of present-day life in Denmark
1917,Peace,for the efforts to take care of wounded soldiers and prisoners of war and their families
1917,Physics,for his discovery of the characteristic R&ouml;ntgen radiation of the elements
1918,Chemistry,for the synthesis of ammonia from its elements
1918,Physics,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta
1919,Literature,"in special appreciation of his epic, <I>Olympian Spring</I>"
1919,Peace,for his role as founder of the League of Nations
1919,Physics,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields
1919,Physiology or Medicine,for his discoveries relating to immunity
1920,Chemistry,in recognition of his work in thermochemistry
1920,Literature,"for his monumental work, <I>Growth of the Soil</I>"
1920,Peace,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations
1920,Physics,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys
1920,Physiology or Medicine,for his discovery of the capillary motor regulating mechanism
1921,Chemistry,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes"
1921,Literature,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament"
1921,Peace,for their lifelong contributions to the cause of peace and organized internationalism
1921,Peace,for their lifelong contributions to the cause of peace and organized internationalism
1921,Physics,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect"
