,name,gender,award_year,category
0,Aage N. Bohr,male,1975,Physics
1,Aaron Ciechanover,male,2004,Chemistry
2,Aaron Klug,male,1982,Chemistry
3,Abdus Salam,male,1979,Physics
4,Ada E. Yonath,female,2009,Chemistry
5,Adam G. Riess,male,2011,Physics
6,Adolf Butenandt,male,1939,Chemistry
7,Adolf von Baeyer,male,1905,Chemistry
8,Adolf Windaus,male,1928,Chemistry
9,Ahmed Zewail,male,1999,Chemistry
10,Akira Suzuki,male,2010,Chemistry
11,Akira Yoshino,male,2019,Chemistry
12,Alain Aspect,male,2022,Physics
13,Alan Heeger,male,2000,Chemistry
14,Alan Hodgkin,male,1963,Physiology or Medicine
15,Alan MacDiarmid,male,2000,Chemistry
16,Albert A. Michelson,male,1907,Physics
17,Albert Claude,male,1974,Physiology or Medicine
18,Albert Einstein,male,1921,Physics
19,Albert Fert,male,2007,Physics
20,Albert Szent-Györgyi,male,1937,Physiology or Medicine
21,Albrecht Kossel,male,1910,Physiology or Medicine
22,Aleksandr M. Prokhorov,male,1964,Physics
23,Aleksey Yekimov ,male,2023,Chemistry
24,Alexei Abrikosov,male,2003,Physics
25,Alexis Carrel,male,1912,Physiology or Medicine
26,Alfred D. Hershey,male,1969,Physiology or Medicine
27,Alfred G. Gilman,male,1994,Physiology or Medicine
28,Alfred Kastler,male,1966,Physics
29,Alfred Werner,male,1913,Chemistry
30,Allan M. Cormack,male,1979,Physiology or Medicine
31,Allvar Gullstrand,male,1911,Physiology or Medicine
32,Alphonse Laveran,male,1907,Physiology or Medicine
33,André F. Cournand,male,1956,Physiology or Medicine
34,Andre Geim,male,2010,Physics
35,André Lwoff,male,1965,Physiology or Medicine
36,Andrea Ghez,female,2020,Physics
37,Andrew Huxley,male,1963,Physiology or Medicine
38,Andrew V. Schally,male,1977,Physiology or Medicine
39,Andrew Z. Fire,male,2006,Physiology or Medicine
40,Anne L’Huillier,female,2023,Physics
41,Anthony J. Leggett,male,2003,Physics
42,Anton Zeilinger,male,2022,Physics
43,Antony Hewish,male,1974,Physics
44,Archer J.P. Martin,male,1952,Chemistry
45,Archibald V. Hill,male,1922,Physiology or Medicine
46,Ardem Patapoutian,male,2021,Physiology or Medicine
47,Arieh Warshel,male,2013,Chemistry
48,Arne Tiselius,male,1948,Chemistry
49,Arno Penzias,male,1978,Physics
50,Arthur Ashkin,male,2018,Physics
51,Arthur B. McDonald,male,2015,Physics
52,Arthur H. Compton,male,1927,Physics
53,Arthur Harden,male,1929,Chemistry
54,Arthur Kornberg,male,1959,Physiology or Medicine
55,Arthur L. Schawlow,male,1981,Physics
56,Artturi Virtanen,male,1945,Chemistry
57,Arvid Carlsson,male,2000,Physiology or Medicine
58,August Krogh,male,1920,Physiology or Medicine
59,Avram Hershko,male,2004,Chemistry
60,Aziz Sancar,male,2015,Chemistry
61,Barbara McClintock,female,1983,Physiology or Medicine
62,Barry C. Barish,male,2017,Physics
63,Barry J. Marshall,male,2005,Physiology or Medicine
64,Baruch S. Blumberg,male,1976,Physiology or Medicine
65,Baruj Benacerraf,male,1980,Physiology or Medicine
66,Ben R. Mottelson,male,1975,Physics
67,Bengt I. Samuelsson,male,1982,Physiology or Medicine
68,Benjamin List,male,2021,Chemistry
69,Bernard L. Feringa,male,2016,Chemistry
70,Bernardo Houssay,male,1947,Physiology or Medicine
71,Bert Sakmann,male,1991,Physiology or Medicine
72,Bertram N. Brockhouse,male,1994,Physics
73,Brian D. Josephson,male,1973,Physics
74,Brian Kobilka,male,2012,Chemistry
75,Brian P. Schmidt,male,2011,Physics
76,Bruce A. Beutler,male,2011,Physiology or Medicine
77,Bruce Merrifield,male,1984,Chemistry
78,Burton Richter,male,1976,Physics
79,C.T.R. Wilson,male,1927,Physics
80,Camillo Golgi,male,1906,Physiology or Medicine
81,Carl Bosch,male,1931,Chemistry
82,Carl Cori,male,1947,Physiology or Medicine
83,Carl D. Anderson,male,1936,Physics
84,Carl Wieman,male,2001,Physics
85,Carlo Rubbia,male,1984,Physics
86,Carol W. Greider,female,2009,Physiology or Medicine
87,Carolyn Bertozzi,female,2022,Chemistry
88,Cecil Powell,male,1950,Physics
89,César Milstein,male,1984,Physiology or Medicine
90,Charles B. Huggins,male,1966,Physiology or Medicine
91,Charles Edouard Guillaume,male,1920,Physics
92,Charles Glover Barkla,male,1917,Physics
93,Charles H. Townes,male,1964,Physics
94,Charles J. Pedersen,male,1987,Chemistry
95,Charles K. Kao,male,2009,Physics
96,Charles M. Rice,male,2020,Physiology or Medicine
97,Charles Nicolle,male,1928,Physiology or Medicine
98,Charles Richet,male,1913,Physiology or Medicine
99,Chen Ning Yang,male,1957,Physics
100,Christiaan Eijkman,male,1929,Physiology or Medicine
101,Christian Anfinsen,male,1972,Chemistry
